N	Memory
701010	59.515625
702010	59.77734375
703010	59.84375
704010	59.75390625
705010	59.765625
706010	59.8046875
707010	59.81640625
708010	59.75390625
709010	59.7578125
710010	60.04296875
711010	60.0234375
712010	60.00390625
713010	60.00390625
714010	60.03515625
715010	60.04296875
716010	60.05859375
717010	60.00390625
718010	60.0390625
719010	60.34375
720010	60.26171875
721010	60.30859375
722010	60.25390625
723010	60.06640625
724010	60.00390625
725010	60.015625
726010	60.27734375
727010	60.28125
728010	60.25390625
729010	60.25390625
730010	60.32421875
731010	60.24609375
732010	60.31640625
733010	60.25390625
734010	60.28515625
735010	60.54296875
736010	60.55859375
737010	60.50390625
738010	60.56640625
739010	60.50390625
740010	60.57421875
741010	60.49609375
742010	60.53515625
743010	60.78125
744010	60.81640625
745010	60.76171875
746010	60.80859375
747010	60.75390625
748010	60.81640625
749010	60.75390625
750010	60.7890625
751010	61.02734375
752010	61.0703125
753010	61.00390625
754010	61.06640625
755010	61.01171875
756010	61.05859375
757010	61.00390625
758010	61.02734375
759010	61.28125
760010	61.33203125
761010	61.24609375
762010	61.31640625
763010	61.25390625
764010	61.31640625
765010	61.26171875
766010	61.26953125
767010	61.53515625
768010	61.57421875
769010	61.50390625
770010	61.53515625
771010	61.53515625
772010	61.56640625
773010	61.50390625
774010	61.5234375
775010	61.7890625
776010	61.8203125
777010	61.75390625
778010	61.81640625
779010	61.7421875
780010	61.8359375
781010	61.74609375
782010	61.77734375
783010	62.03515625
784010	62.07421875
785010	62.01171875
786010	61.80859375
787010	61.75390625
788010	61.81640625
789010	61.75390625
790010	61.7734375
791010	62.0390625
792010	62.0703125
793010	62.00390625
794010	62.06640625
795010	62.00390625
796010	62.07421875
797010	61.99609375
798010	62.0234375
799010	62.28515625
800010	62.328125
801010	62.26171875
802010	62.30859375
803010	62.25390625
804010	62.31640625
805010	62.25390625
806010	62.27734375
807010	62.5234375
808010	62.58203125
809010	62.50390625
810010	62.56640625
811010	62.51171875
812010	62.55859375
813010	62.50390625
814010	62.51953125
815010	62.78515625
816010	62.83984375
817010	62.74609375
818010	62.81640625
819010	62.75390625
820010	62.81640625
821010	62.76171875
822010	62.7578125
823010	63.03515625
824010	63.0859375
825010	63.00390625
826010	63.07421875
827010	62.99609375
828010	63.06640625
829010	63.00390625
830010	63.015625
831010	63.29296875
832010	63.328125
833010	63.25390625
834010	63.265625
835010	63.3046875
836010	63.32421875
837010	63.24609375
838010	63.26171875
839010	63.53515625
840010	63.58984375
841010	63.51171875
842010	63.55859375
843010	63.48046875
844010	63.58984375
845010	63.50390625
846010	63.5234375
847010	63.77734375
848010	63.8359375
849010	65.2109375
850010	65.25390625
851010	65.07421875
852010	64.99609375
853010	65.07421875
854010	65.00390625
855010	65.265625
856010	65.53515625
857010	65.578125
858010	65.51171875
859010	65.56640625
860010	65.49609375
861010	65.56640625
862010	65.50390625
863010	65.5234375
864010	65.78515625
865010	65.8359375
866010	65.74609375
867010	65.82421875
868010	65.75390625
869010	65.80859375
870010	65.75390625
871010	65.76171875
872010	66.04296875
873010	66.08984375
874010	66.00390625
875010	66.05859375
876010	66.01171875
877010	66.06640625
878010	65.99609375
879010	66.0234375
880010	66.27734375
881010	66.34765625
882010	66.24609375
883010	66.32421875
884010	66.25390625
885010	66.30859375
886010	66.00390625
887010	66.01171875
888010	66.29296875
889010	66.33984375
890010	66.25390625
891010	66.30859375
892010	66.26171875
893010	66.31640625
894010	66.24609375
895010	66.26171875
896010	66.53515625
897010	66.59765625
898010	66.50390625
899010	66.56640625
